artifact_form,occurrences,file_count,files
හැ`දින්වෙයි,2,1,grade_10_western_music.md
ගොඩනැ`ගූ,2,2,grade_10_western_music.md | grade_6_music_teacher_guide.md
රසවි`දියි,2,2,grade_10_western_music.md | grade_11_music_textbook.md
ද්`ක්,2,1,grade_10_western_music.md
ඇ`ගිල්ල,2,1,grade_10_western_music.md
හැ`දින්විය,2,2,grade_10_western_music.md | grade_11_music_textbook.md
අ`දිනා,2,1,grade_10_western_music.md
මැදැ`ගිල්ල,2,2,grade_10_western_music.md | grade_8_music_teacher_guide.md
වි`දීමට,2,2,grade_10_western_music.md | grade_11_music_textbook.md
හැ`ගීම්,2,2,grade_10_western_music.md | grade_8_music_teacher_guide.md
ක`ඵලෑල්ලේ,2,1,grade_10_western_music.md
ර`ග,2,2,grade_10_western_music.md | grade_11_music_textbook.md
න`ථ,2,1,grade_11_music_textbook.md
එ`ථව,2,1,grade_11_music_textbook.md
සංගීත`ඥයින්,2,1,grade_11_music_textbook.md
සංගීත`ඥයාගේ,2,1,grade_11_music_textbook.md
රසවි``දියි,2,1,grade_11_music_textbook.md
සංගීතාංගඑ`ඵවන්,2,2,grade_6_music_teacher_guide.md | music_teacher_guide_part_2.md
හැ`ගීම්බර,2,2,grade_6_music_teacher_guide.md | grade_8_music_teacher_guide.md
ළ`ගට,2,1,grade_6_music_teacher_guide.md
පො`ගවන,2,1,grade_6_music_teacher_guide.md
ළ`ගාවීම,2,2,grade_7_11_oriental_music_teacher_guide.md | grade_8_music_teacher_guide.md
ළ``ගාකර,2,2,grade_7_11_oriental_music_teacher_guide.md | grade_8_music_teacher_guide.md
බැ`දීමකින්,2,2,grade_7_11_oriental_music_teacher_guide.md | grade_8_music_teacher_guide.md
හැ`ගීම,2,2,grade_7_11_oriental_music_teacher_guide.md | grade_8_music_teacher_guide.md
බැ`දීම්,2,2,grade_7_11_oriental_music_teacher_guide.md | grade_8_music_teacher_guide.md
ල`ගා,2,2,grade_7_11_oriental_music_teacher_guide.md | grade_8_music_teacher_guide.md
සම`ගම,2,1,grade_8_music_teacher_guide.md
පල`දිතේ,2,1,grade_8_music_teacher_guide.md
`ලු,2,1,oriental_music_2018.md
රැ`,2,1,oriental_music_2018.md
ෟ`ෟු,2,1,oriental_music_2018.md
ව`දිමි,1,1,grade_10_western_music.md
සිරි`ගර,1,1,grade_10_western_music.md
ළ`ගින්,1,1,grade_10_western_music.md
ඊළ`ග,1,1,grade_10_western_music.md
ග`ගුලේ,1,1,grade_10_western_music.md
රවිකි`ක්,1,1,grade_10_western_music.md
හැ`දින්වීය,1,1,grade_10_western_music.md
කපිරි`ක්,1,1,grade_10_western_music.md
සුර`ගන,1,1,grade_10_western_music.md
දනමු`ඵ,1,1,grade_10_western_music.md
ග`ගුලෙදි,1,1,grade_10_western_music.md
වොරැ`දී,1,1,grade_10_western_music.md
ඇ`ගිල්ලෙන්,1,1,grade_10_western_music.md
තුංදබරැ`ගිල්ලෙන්,1,1,grade_10_western_music.md
මහ`ගු,1,1,grade_10_western_music.md
ස`ගරාව,1,1,grade_10_western_music.md
ප`ඩිවරුන්,1,1,grade_10_western_music.md
අත්වි`දි,1,1,grade_10_western_music.md
කඳු`ඵහෙළා,1,1,grade_10_western_music.md
කඳු`ඵ,1,1,grade_10_western_music.md
සු`ඵ,1,1,grade_10_western_music.md
ම`ගපෙන්විම,1,1,grade_10_western_music.md
සිය`ඵ,1,1,grade_10_western_music.md
එම`ගින්,1,1,grade_10_western_music.md
ගැට`ඵවක්,1,1,grade_10_western_music.md
මු`ඵල්ලේ,1,1,grade_10_western_music.md
ඉ`ගිය,1,1,grade_10_western_music.md
ඉ`ගිවලට,1,1,grade_10_western_music.md
ඉ`ගියක්,1,1,grade_10_western_music.md
රසවි`දීමට,1,1,grade_10_western_music.md
`දිපෙරදි,1,1,grade_11_music_textbook.md
මාජීළ`ගා,1,1,grade_11_music_textbook.md
සහ`දියිංග,1,1,grade_11_music_textbook.md
වි`දියා,1,1,grade_11_music_textbook.md
යි`දිමියිමිනලාං,1,1,grade_11_music_textbook.md
රසවි`දි,1,1,grade_11_music_textbook.md
ළ`ගාවන,1,1,grade_11_music_textbook.md
සර්ව`ඥ,1,1,grade_11_music_textbook.md
ජැංඩිසිංෙ`ක්,1,1,grade_11_music_textbook.md
සො`දින්,1,1,grade_11_music_textbook.md
අ`දින්ට,1,1,grade_11_music_textbook.md
එ`ථවෙක්,1,1,grade_11_music_textbook.md
එ`ථවාගෙන්,1,1,grade_11_music_textbook.md
සංගීත`ඥයා,1,1,grade_11_music_textbook.md
වි`දි,1,1,grade_11_music_textbook.md
මකුලො`ථව,1,1,grade_11_music_textbook.md
ග`ගකතාාද,1,1,grade_11_music_textbook.md
හැ`දින්වීමේදී,1,1,grade_11_music_textbook.md
තර`ගකාරිත්වය,1,1,grade_11_music_textbook.md
සම`ගයි,1,1,grade_11_music_textbook.md
ඇතු`ථ,1,1,grade_11_music_textbook.md
පෙනහ`ඵවල,1,1,grade_6_music_teacher_guide.md
කුරු`ඵ,1,1,grade_6_music_teacher_guide.md
හැ`දිනගැනීමට,1,1,grade_6_music_teacher_guide.md
මාපටැ`ගිලි,1,1,grade_6_music_teacher_guide.md
සුළැ`ගිලි,1,1,grade_6_music_teacher_guide.md
හෙ`ඩ්,1,1,grade_6_music_teacher_guide.md
බ`දින,1,1,grade_6_music_teacher_guide.md
සිතැ`ගි,1,1,grade_6_music_teacher_guide.md
ප`ඩිඳුන්,1,1,grade_6_music_teacher_guide.md
ප`ඩිවරුනට,1,1,grade_6_music_teacher_guide.md
ගොප`ඵ,1,1,grade_6_music_teacher_guide.md
හැ`ගීමක්,1,1,grade_6_music_teacher_guide.md
න`ඵ,1,1,grade_6_music_teacher_guide.md
දබර`ගිල්ලෙන්,1,1,grade_6_music_teacher_guide.md
එ`ඵවා,1,1,grade_6_music_teacher_guide.md
ගොඩනැ`ගී,1,1,grade_6_music_teacher_guide.md
පිළිබ`ඳ,1,1,grade_6_music_teacher_guide.md
ග`ගුලෙ,1,1,grade_6_music_teacher_guide.md
අ`ගලක්,1,1,grade_6_music_teacher_guide.md
මු`ඵ,1,1,grade_6_music_teacher_guide.md
්ර`ග,1,1,grade_6_music_teacher_guide.md
මෙම`ගින්,1,1,grade_8_music_teacher_guide.md
සුළැ`ගිල්ල,1,1,grade_8_music_teacher_guide.md
වෙද`ගිල්ල,1,1,grade_8_music_teacher_guide.md
නෙ`ගා්,1,1,grade_8_music_teacher_guide.md
ස`ගවා,1,1,grade_8_music_teacher_guide.md
ග`ගුල්,1,1,grade_8_music_teacher_guide.md
හි`දිමිනේ,1,1,grade_8_music_teacher_guide.md
න`ගයි,1,1,grade_8_music_teacher_guide.md
න`ගමින්,1,1,grade_8_music_teacher_guide.md
නැ`ගීමට,1,1,grade_8_music_teacher_guide.md
සෙන`ග,1,1,grade_8_music_teacher_guide.md
වි`දීම,1,1,grade_8_music_teacher_guide.md
ස`ඳස්,1,1,grade_8_music_teacher_guide.md
මැද`ග,1,1,grade_8_music_teacher_guide.md
ගොඩන`ගන්න,1,1,grade_8_music_teacher_guide.md
න`ගා,1,1,grade_8_music_teacher_guide.md
ඇ`දීමට,1,1,grade_8_music_teacher_guide.md
ඇ`දීම,1,1,grade_8_music_teacher_guide.md
නැ`ගී,1,1,grade_8_music_teacher_guide.md
බි`ගු,1,1,grade_8_music_teacher_guide.md
`ස,1,1,oriental_music_2018.md
ර`,1,1,oriental_music_2018.md
ෟ`ලෟෟූු,1,1,oriental_music_2018.md
ලඊෟතු`ලෘ,1,1,oriental_music_2018.md
ූල`ල,1,1,oriental_music_2018.md
ර`ල,1,1,oriental_music_2018.md
`ය,1,1,oriental_music_2018.md
ෟෟ`ල,1,1,oriental_music_2018.md
ෟෟ`ලෟ,1,1,oriental_music_2018.md
ෟෟෟ`ල,1,1,oriental_music_2018.md
`ලුෟෟ,1,1,oriental_music_2018.md
ෟ`ලෟ,1,1,oriental_music_2018.md
භභ`ලධධ,1,1,oriental_music_2018.md
`ලුෟ,1,1,oriental_music_2018.md
ඨ`ල,1,1,oriental_music_2018.md
ෑඹ`ල,1,1,oriental_music_2018.md
රැ`ෟ,1,1,oriental_music_2018.md
ය`,1,1,oriental_music_2018.md
රැ`ලෑ,1,1,oriental_music_2018.md
රැ`ලෟ,1,1,oriental_music_2018.md
ත`,1,1,oriental_music_2018.md
ඨ`,1,1,oriental_music_2018.md
ූ`,1,1,oriental_music_2018.md
`ක්,1,1,oriental_music_2018.md
